title,artists,year,youtube_query
16 Candles,The Crests,1958,16 Candles The Crests
Bird Dog,The Everly Brothers,1958,Bird Dog The Everly Brothers
Donna,Ritchie Valens,1958,Donna Ritchie Valens
It's All In The Game,Tommy Edwards,1958,It's All In The Game Tommy Edwards
It's Only Make Believe,Conway Twitty,1958,It's Only Make Believe Conway Twitty
Little Star,The Elegants,1958,Little Star The Elegants
My Happiness,Connie Francis,1958,My Happiness Connie Francis
Poor Little Fool,Ricky Nelson,1958,Poor Little Fool Ricky Nelson
Rock-in Robin,Bobby Day,1958,Rock-in Robin Bobby Day
Smoke Gets In Your Eyes,The Platters,1958,Smoke Gets In Your Eyes The Platters
Stagger Lee,Lloyd Price,1958,Stagger Lee Lloyd Price
The All American Boy,Bill Parsons,1958,The All American Boy Bill Parsons
The Chipmunk Song,The Chipmunks With David Seville,1958,The Chipmunk Song The Chipmunks With David Seville
"To Know Him, Is To Love Him",The Teddy Bears,1958,"To Know Him, Is To Love Him The Teddy Bears"
Tom Dooley,The Kingston Trio,1958,Tom Dooley The Kingston Trio
Come Softly To Me,The Fleetwoods,1959,Come Softly To Me The Fleetwoods
El Paso,Marty Robbins,1959,El Paso Marty Robbins
Heartaches By The Number,Guy Mitchell,1959,Heartaches By The Number Guy Mitchell
Kansas City,Wilbert Harrison,1959,Kansas City Wilbert Harrison
Lonely Boy,Paul Anka,1959,Lonely Boy Paul Anka
Mack The Knife,Bobby Darin,1959,Mack The Knife Bobby Darin
Mr. Blue,The Fleetwoods,1959,Mr. Blue The Fleetwoods
Running Bear,Johnny Preston,1959,Running Bear Johnny Preston
Sleep Walk,Santo & Johnny,1959,Sleep Walk Santo & Johnny
Teen Angel,Mark Dinning,1959,Teen Angel Mark Dinning
The Battle Of New Orleans,Johnny Horton,1959,The Battle Of New Orleans Johnny Horton
The Happy Organ,"Dave ""Baby"" Cortez",1959,"The Happy Organ Dave ""Baby"" Cortez"
The Three Bells,The Browns,1959,The Three Bells The Browns
Venus,Frankie Avalon,1959,Venus Frankie Avalon
Why,Frankie Avalon,1959,Why Frankie Avalon
Calcutta,Lawrence Welk And His Orchestra,1960,Calcutta Lawrence Welk And His Orchestra
Cathy's Clown,The Everly Brothers,1960,Cathy's Clown The Everly Brothers
Everybody's Somebody's Fool,Connie Francis,1960,Everybody's Somebody's Fool Connie Francis
I'm Sorry,Brenda Lee,1960,I'm Sorry Brenda Lee
It's Now Or Never,Elvis Presley With The Jordanaires,1960,It's Now Or Never Elvis Presley With The Jordanaires
My Heart Has A Mind Of Its Own,Connie Francis,1960,My Heart Has A Mind Of Its Own Connie Francis
Rockin' Around The Christmas Tree,Brenda Lee,1960,Rockin' Around The Christmas Tree Brenda Lee
Save The Last Dance For Me,The Drifters,1960,Save The Last Dance For Me The Drifters
Stay,Maurice Williams & The Zodiacs,1960,Stay Maurice Williams & The Zodiacs
Stuck On You,Elvis Presley With The Jordanaires,1960,Stuck On You Elvis Presley With The Jordanaires
"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,1960,"The Theme From ""A Summer Place"" Percy Faith And His Orchestra"
The Twist,Chubby Checker,1960,The Twist Chubby Checker
